Subject,predicate,Object,Rarity,EitherNotPlace,DifferentOccupation,smallPlace,Importance,interestingness
Brussels,http://dbpedia.org/ontology/part,Woluwe-Saint-Pierre,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Ixelles,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,City of Brussels,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Evere,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Jette,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Uccle,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Woluwe-Saint-Lambert,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Saint-Josse-ten-Noode,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Watermael-Boitsfort,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Auderghem,http://dbpedia.org/ontology/mayor,Fédéralistes Démocrates Francophones,0.15439312443721048,1.0,1.0,0.0,0.0,0.0
Belgium,http://dbpedia.org/ontology/leaderName,Albert II of Belgium,0.10246727946216483,1.0,1.0,0.0,0.0,0.0
Belgium,http://dbpedia.org/ontology/currency,Euro,0.14119211329192854,1.0,1.0,0.0,0.0,0.0
Belgium,http://dbpedia.org/ontology/leaderName,Elio Di Rupo,0.10246727946216483,1.0,0.0,0.0,0.0,0.0
Albert II of Belgium,http://dbpedia.org/ontology/parent,Leopold III of Belgium,0.09964645177840674,1.0,1.0,0.0,0.0,0.0
Albert II of Belgium,http://dbpedia.org/ontology/successor,Prince Philippe, Duke of Brabant,0.08958678676712332,1.0,1.0,0.0,0.0,0.0
Albert II of Belgium,http://dbpedia.org/ontology/predecessor,Baudouin of Belgium,0.10256056424523285,1.0,1.0,0.0,0.0,0.0
Albert II of Belgium,http://dbpedia.org/ontology/parent,Astrid of Sweden,0.09964645177840674,1.0,1.0,0.0,0.0,0.0
Albert II of Belgium,http://dbpedia.org/ontology/spouse,Queen Paola of Belgium,0.09893095488870488,1.0,1.0,0.0,0.0,0.0
Albert II of Belgium,http://dbpedia.org/ontology/birthPlace,List of castles in Belgium,0.07177768803047559,1.0,1.0,0.0,0.0,0.0
Astrid of Sweden,http://dbpedia.org/ontology/parent,Prince Carl, Duke of Västergötland,0.09964645177840674,1.0,1.0,0.0,0.0,0.0
Astrid of Sweden,http://dbpedia.org/ontology/parent,Princess Ingeborg of Denmark,0.09964645177840674,1.0,1.0,0.0,0.0,0.0
Astrid of Sweden,http://dbpedia.org/ontology/birthPlace,Stockholm,0.07177768803047559,1.0,1.0,0.05248805858132134,0.0,0.0
Astrid of Sweden,http://dbpedia.org/ontology/deathPlace,Switzerland,0.07765431190937357,1.0,1.0,0.04091022790225926,0.0,0.0
Astrid of Sweden,http://dbpedia.org/ontology/birthPlace,Sweden,0.07177768803047559,1.0,1.0,0.03726822876462631,0.0,0.0
Astrid of Sweden,http://dbpedia.org/ontology/deathPlace,Küssnacht,0.07765431190937357,1.0,1.0,0.057456174933943525,0.0,0.0
Astrid of Sweden,http://dbpedia.org/ontology/deathPlace,Schwyz,0.07765431190937357,1.0,1.0,0.05621449914920228,0.0,0.0
Astrid of Sweden,http://dbpedia.org/ontology/restingPlace,Church of Our Lady of Laeken,0.10361918958401987,1.0,1.0,0.0,0.0,0.0
Baudouin of Belgium,http://dbpedia.org/ontology/spouse,Queen Fabiola of Belgium,0.09893095488870488,1.0,1.0,0.0,0.0,0.0
Baudouin of Belgium,http://dbpedia.org/ontology/birthPlace,Laeken,0.07177768803047559,1.0,1.0,0.0,0.0,0.0
Baudouin of Belgium,http://dbpedia.org/ontology/deathPlace,Motril,0.07765431190937357,1.0,1.0,0.05401347730318708,0.0,0.0
Charles Picqué,http://dbpedia.org/ontology/party,Parti Socialiste (Belgium),0.08978296631786527,1.0,1.0,0.0,0.0,0.0
Charles Picqué,http://dbpedia.org/ontology/almaMater,Louvain School of Management,0.0902442838912354,1.0,1.0,0.0,0.0,0.0
Charles Picqué,http://dbpedia.org/ontology/successor,Jacques Simonet,0.08958678676712332,1.0,0.0,0.0,0.0,0.0
City of Brussels,http://dbpedia.org/ontology/mayor,Freddy Thielemans,0.15439312443721048,1.0,1.0,0.0,0.0,0.0
