Subject,Predicate,Object,sbjExtensionRarity,objExtensionRarity,subjectDegree,objectDegree
"Jones (Animal Farm)",creator,"George Orwell",4.3754101947057534E-5,2.691302551186612E-5,2.0010690711512626E-6,1.312623058411726E-4
"Mircea Nedelciu",influencedBy,"George Orwell",6.045386904761905E-4,2.691302551186612E-5,4.652485590426686E-5,8.835565476190476E-4
"Yevgeny Zamyatin",influenced,"George Orwell",2.8169014084507044E-4,2.691302551186612E-5,3.3017639673995833E-4,9.389671361502347E-4
"Napoleon (Animal Farm)",creator,"George Orwell",4.3754101947057534E-5,2.691302551186612E-5,6.003207213453788E-6,1.312623058411726E-4
"Herbert Read",influencedBy,"George Orwell",3.720238095238095E-4,2.691302551186612E-5,1.9010156175936995E-4,8.835565476190476E-4
"David Mitchell (author)",influencedBy,"George Orwell",0.0010230654761904762,2.691302551186612E-5,4.602458863647904E-4,8.835565476190476E-4
"Anthony Burgess",influencedBy,"George Orwell",8.835565476190476E-4,2.691302551186612E-5,6.303367574126477E-4,8.835565476190476E-4
"Gene Wolfe",influencedBy,"George Orwell",8.835565476190476E-4,2.691302551186612E-5,7.098792529909104E-4,8.835565476190476E-4
"Michael Crichton",influencedBy,"George Orwell",1.8601190476190475E-4,2.691302551186612E-5,2.7614753181887423E-4,8.835565476190476E-4
"William Makepeace Thackeray",influenced,"George Orwell",1.8779342723004695E-4,2.691302551186612E-5,2.2211866689779016E-4,9.389671361502347E-4
"Old Major",creator,"George Orwell",4.3754101947057534E-5,2.691302551186612E-5,4.002138142302525E-6,1.312623058411726E-4
"Daniel Defoe",influenced,"George Orwell",3.755868544600939E-4,2.691302551186612E-5,1.8609942361706743E-4,9.389671361502347E-4
"Émile Zola",influenced,"George Orwell",5.633802816901409E-4,2.691302551186612E-5,3.7820205444758864E-4,9.389671361502347E-4
"Albert Camus",influencedBy,"George Orwell",8.370535714285714E-4,2.691302551186612E-5,6.543495862664628E-4,8.835565476190476E-4
"Margaret Atwood",influencedBy,"George Orwell",6.510416666666666E-4,2.691302551186612E-5,5.522950636377485E-4,8.835565476190476E-4
"Andrzej Krauze",influencedBy,"George Orwell",3.720238095238095E-4,2.691302551186612E-5,2.2011759782663887E-5,8.835565476190476E-4
"Kurt Vonnegut",influencedBy,"George Orwell",6.045386904761905E-4,2.691302551186612E-5,6.24333550199194E-4,8.835565476190476E-4
"Noam Chomsky",influencedBy,"George Orwell",8.370535714285714E-4,2.691302551186612E-5,0.0011406093705562197,8.835565476190476E-4
"Raoul Vaneigem",influencedBy,"George Orwell",7.44047619047619E-4,2.691302551186612E-5,3.872068652677693E-4,8.835565476190476E-4
"Ray Bradbury",influencedBy,"George Orwell",8.835565476190476E-4,2.691302551186612E-5,7.443976944682697E-4,8.835565476190476E-4
"Augusto Ponzio",influencedBy,"George Orwell",0.0016276041666666667,2.691302551186612E-5,9.304971180853372E-5,8.835565476190476E-4
"Clive James",influencedBy,"George Orwell",5.115327380952381E-4,2.691302551186612E-5,5.6029933992235354E-5,8.835565476190476E-4
"Christopher Hitchens",influencedBy,"George Orwell",0.0020461309523809525,2.691302551186612E-5,8.419498116868937E-4,8.835565476190476E-4
"Donna Tartt",influencedBy,"George Orwell",4.650297619047619E-4,2.691302551186612E-5,2.1611545968433635E-4,8.835565476190476E-4
"Aldous Huxley",influenced,"George Orwell",0.0012206572769953052,2.691302551186612E-5,5.34285441997387E-4,9.389671361502347E-4
"Bill Clinton",lieutenant,"Jim Guy Tucker",0.002117148906139732,0.0014114326040931546,3.5018708745147096E-6,3.857533656700811E-4
"Bill Clinton",lieutenant,"Joe Purcell",0.002117148906139732,0.002117148906139732,3.5018708745147096E-6,6.72825637796653E-5
"Bill Clinton",governor,"Joe Purcell",8.833922261484099E-4,4.4169611307420494E-4,3.5018708745147096E-6,6.72825637796653E-5
"Bill Clinton",vicePresident,"Al Gore",0.0012903225806451613,0.005161290322580645,3.5018708745147096E-6,0.0017628031710272309
"Bill Clinton",successor,"Jim Guy Tucker",5.679478623862329E-5,7.099348279827911E-5,3.5018708745147096E-6,3.857533656700811E-4
"Bill Clinton",child,"Chelsea Clinton",9.8833761612967E-5,4.941688080648349E-4,3.5018708745147096E-6,3.823892374810978E-4
